Country,Value
Switzerland,1.21
Cayman Islands,1.19
Barbados,1.15
Israel,1.12
Iceland,1.11
Norway,1.07
Denmark,1.01
United States of America,1
Luxembourg,0.99
Australia,0.97
Finland,0.97
Vanuatu,0.95
Sweden,0.95
Japan,0.95
New Zealand,0.93
Canada,0.93
Puerto Rico,0.92
Ireland,0.92
Tuvalu,0.89
Netherlands,0.88
United Kingdom of Great Britain and Northern Ireland,0.88
Palau,0.87
Austria,0.87
Solomon Islands,0.86
Belgium,0.85
Germany,0.84
France,0.83
Hong Kong SAR,0.78
Bahamas,0.77
Antigua and Barbuda,0.77
Italy,0.76
San Marino,0.75
Nauru,0.74
St. Kitts and Nevis,0.72
Spain,0.72
Cyprus,0.7
South Korea,0.7
Kiribati,0.69
St. Lucia,0.69
Tonga,0.69
Uruguay,0.68
Malta,0.67
Portugal,0.65
"Macao SAR, China",0.65
Dominica,0.65
Papua New Guinea,0.64
Slovenia,0.64
Belize,0.64
Greece,0.63
Venezuela,0.63
Trinidad and Tobago,0.62
Slovakia,0.61
Estonia,0.61
Singapore,0.61
China,0.61
Grenada,0.61
Samoa,0.6
Djibouti,0.59
St. Vincent and the Grenadines,0.57
Latvia,0.56
Qatar,0.56
Czechia,0.55
Costa Rica,0.55
United Arab Emirates,0.54
Chile,0.53
Kuwait,0.52
Lithuania,0.52
Guatemala,0.52
Peru,0.52
Ecuador,0.51
Congo (DRC),0.51
São Tomé and Principe,0.5
Jamaica,0.5
Central African Republic,0.5
Croatia,0.49
Hungary,0.48
Cabo Verde,0.48
Dem. Rep. Congo,0.48
Turkmenistan,0.47
Panama,0.47
Bahrain,0.47
Oman,0.47
Poland,0.46
Brazil,0.46
Gabon,0.46
Mexico,0.45
El Salvador,0.45
Comoros,0.45
Namibia,0.45
Honduras,0.44
Niger,0.44
Iraq,0.44
Yemen,0.44
Liberia,0.43
Saudi Arabia,0.43
Côte d'Ivoire,0.43
Guinea,0.42
South Africa,0.42
Mauritius,0.42
Senegal,0.42
Fiji,0.42
Brunei,0.42
Seychelles,0.42
Morocco,0.42
Botswana,0.41
Jordan,0.41
Argentina,0.41
Togo,0.41
Chad,0.41
Haiti,0.41
Kenya,0.41
Bulgaria,0.41
Dominican Republic,0.41
Serbia,0.4
Nigeria,0.4
Romania,0.4
Malawi,0.4
Equatorial Guinea,0.4
Cameroon,0.4
Thailand,0.39
Philippines,0.39
Albania,0.39
Bosnia and Herzegovina,0.39
Tanzania,0.39
Ethiopia,0.39
Eswatini,0.39
Montenegro,0.38
Ghana,0.38
Lebanon,0.38
Paraguay,0.38
Bangladesh,0.38
Bolivia,0.38
Burkina Faso,0.38
Guinea-Bissau,0.37
Malaysia,0.37
Benin,0.37
Mali,0.37
Eritrea,0.36
Rwanda,0.36
Uganda,0.36
Lesotho,0.36
Colombia,0.36
Guyana,0.35
Somalia,0.35
Moldova,0.35
North Macedonia,0.35
Cambodia,0.35
Timor-Leste,0.35
Mozambique,0.35
Zimbabwe,0.34
Nicaragua,0.34
Libya,0.34
Kazakhstan,0.34
The Gambia,0.34
Russia,0.34
Mongolia,0.33
Tunisia,0.33
Vietnam,0.32
Indonesia,0.32
Armenia,0.32
Lao PDR,0.32
Belarus,0.32
Mauritania,0.32
Turkey,0.31
Burundi,0.31
Madagascar,0.31
India,0.3
Sierra Leone,0.29
Suriname,0.29
Algeria,0.29
Azerbaijan,0.29
Georgia,0.29
Nepal,0.29
Myanmar,0.29
Ukraine,0.29
Zambia,0.28
Egypt,0.28
Sri Lanka,0.28
Angola,0.28
Bhutan,0.27
Afghanistan,0.25
Pakistan,0.25
Kyrgyz Republic,0.24
Uzbekistan,0.23
Tajikistan,0.22
Iran,0.18
Sudan,0.12
