"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","name","alpha_2","alpha_3","country_code","iso_3166_2","region","sub_region","intermediate_region","region_code","sub_region_code","intermediate_region_code","Country","Value","COMPARABLE_SALARY"
"2023","SE","FT","Principal Data Scientist","80000","EUR","85847","ES","100","ES","L","Spain","ES","ESP","724","ISO 3166-2:ES","Europe","Southern Europe","","150","039","","Spain","0.72","119232"
"2023","MI","CT","ML Engineer","30000","USD","30000","US","100","US","S","United States of America","US","USA","840","ISO 3166-2:US","Americas","Northern America","","019","021","","United States of America","1","30000"
"2023","MI","CT","ML Engineer","25500","USD","25500","US","100","US","S","United States of America","US","USA","840","ISO 3166-2:US","Americas","Northern America","","019","021","","United States of America","1","25500"
"2023","SE","FT","Data Scientist","175000","USD","175000","CA","100","CA","M","Canada","CA","CAN","124","ISO 3166-2:CA","Americas","Northern America","","019","021","","Canada","0.93","188172"
"2023","SE","FT","Data Scientist","120000","USD","120000","CA","100","CA","M","Canada","CA","CAN","124","ISO 3166-2:CA","Americas","Northern America","","019","021","","Canada","0.93","129032"
"2023","SE","FT","Applied Scientist","222200","USD","222200","US","0","US","L","United States of America","US","USA","840","ISO 3166-2:US","Americas","Northern America","","019","021","","United States of America","1","222200"
"2023","SE","FT","Applied Scientist","136000","USD","136000","US","0","US","L","United States of America","US","USA","840","ISO 3166-2:US","Americas","Northern America","","019","021","","United States of America","1","136000"
"2023","SE","FT","Data Scientist","219000","USD","219000","CA","0","CA","M","Canada","CA","CAN","124","ISO 3166-2:CA","Americas","Northern America","","019","021","","Canada","0.93","235484"
"2023","SE","FT","Data Scientist","141000","USD","141000","CA","0","CA","M","Canada","CA","CAN","124","ISO 3166-2:CA","Americas","Northern America","","019","021","","Canada","0.93","151613"
"2023","SE","FT","Data Scientist","147100","USD","147100","US","0","US","M","United States of America","US","USA","840","ISO 3166-2:US","Americas","Northern America","","019","021","","United States of America","1","147100"
